"Folder","NoteName","Status"
"On Hierarchical Algorithms","Learn Order - HA.md","Has Content"
"Algorithms","Algorithm - ACA with Partial Pivoting.md","Has Content"
"Algorithms","Algorithm - Adaptive Cross Approximation (ACA).md","Has Content"
"Algorithms","Algorithm - Algebraic Recompression.md","Has Content"
"Algorithms","Algorithm - Exact Rank-k Addition.md","Has Content"
"Algorithms","Algorithm - Exact Rank-k Multiplication.md","Has Content"
"Algorithms","Algorithm - Fast H2-MVM.md","Has Content"
"Algorithms","Algorithm - Formatted Addition.md","Has Content"
"Algorithms","Algorithm - Formatted Agglomeration.md","Has Content"
"Algorithms","Algorithm - H-Cholesky Decomposition.md","Has Content"
"Algorithms","Algorithm - Hp-LU Decomposition.md","Has Content"
"Algorithms","Algorithm - Hp-Matrix Addition.md","Has Content"
"Algorithms","Algorithm - Hp-Matrix Inversion (Recursive).md","Has Content"
"Algorithms","Algorithm - Hp-Matrix Matrix Multiplication (MMM).md","Has Content"
"Algorithms","Algorithm - Hp-Matrix Vector Multiplication (MVM).md","Has Content"
"Approximation","Chebyshev Interpolation.md","Has Content"
"Approximation","Lagrange Interpolation.md","Has Content"
"Approximation","Runge's Phenomenon.md","Has Content"
"Approximation","Taylor Series Approximation.md","Has Content"
"Calculations","Bounding Box Diameter Calculation.md","Has Content"
"Calculations","Exponential Convergence Rate.md","Has Content"
"Calculations","Lebesgue Constant (C_L).md","Has Content"
"Calculations","Lemma - Chebyshev Max Norm.md","Has Content"
"Calculations","Lemma - Cost of Matrix Addition (Lemma 6.2).md","Has Content"
"Calculations","Lemma - Cost of MVM (Lemma 6.1).md","Has Content"
"Calculations","Lemma - Error Bound of Taylor Expansion.md","Has Content"
"Calculations","Lemma - Exponential Convergence of Separable Functions.md","Has Content"
"Calculations","Lemma - Frobenius Norm Consistency.md","Has Content"
"Calculations","Lemma - Interpolation Error Bound.md","Has Content"
"Calculations","Lemma - Inverse of Tridiagonal Matrix.md","Has Content"
"Calculations","Lemma - Lebesgue Stability.md","Has Content"
"Calculations","Lemma - QR Decomposition Cost.md","Has Content"
"Calculations","Lemma - Rank k Storage Cost.md","Has Content"
"Calculations","Lemma - Schur Complement.md","Has Content"
"Calculations","Lemma - Storage of H2 Model (Lemma 9.4).md","Has Content"
"Calculations","Lemma - Tensor Product Dimension.md","Has Content"
"Calculations","Lemma - Truncation Error Bound.md","Has Content"
"Calculations","Lemma - Update Cost.md","Has Content"
"Calculations","Sparsity Constant (C_sp).md","Has Content"
"Calculations","Stability Constant (C_stab).md","Has Content"
"Construction","Cardinality Balanced Clustering.md","Has Content"
"Construction","Geometric Balanced Clustering.md","Has Content"
"Construction","Resolution of Cluster Tree.md","Has Content"
"Construction","Stopping Criteria for Clustering.md","Has Content"
"Derivations","Derivation - H-LU Complexity.md","Has Content"
"Derivations","Derivation - MMM Complexity.md","Has Content"
"Derivations","Derivation - MVM Complexity.md","Has Content"
"Derivations","Theorem - Best Low-Rank Approximation Error.md","Has Content"
"Derivations","Theorem - Cost of Algebraic Recompression.md","Has Content"
"Derivations","Theorem - H2 Storage Cost.md","Has Content"
"Derivations","Theorem - Number of Blocks in Hp.md","Has Content"
"Derivations","Theorem - Properties of Rank.md","Has Content"
"Derivations","Theorem - Storage Cost of H-Matrix.md","Has Content"
"Derivations","Theorem - Tensor Interpolation Error.md","Has Content"
"Derivations","Theorem - Truncation Non-Associativity.md","Has Content"
"Foundations","Admissibility Condition.md","Has Content"
"Foundations","Asymptotically Smooth Kernels.md","Has Content"
"Foundations","Discretization Error vs Approximation Error.md","Has Content"
"Foundations","Kernel Function.md","Has Content"
"Foundations","LU Decomposition.md","Has Content"
"Foundations","Model Problem - The Logarithmic Kernel.md","Has Content"
"Foundations","QR Decomposition.md","Has Content"
"Foundations","Rank of a Matrix.md","Has Content"
"Foundations","Rank-k Matrix Representation.md","Has Content"
"Foundations","Reduced QR Decomposition.md","Has Content"
"Foundations","Reduced Singular Value Decomposition.md","Has Content"
"Foundations","Separable Functions.md","Has Content"
"Foundations","Separation Rank.md","Has Content"
"Foundations","Singular Value Decomposition (SVD).md","Has Content"
"Foundations","Taylor Polynomial.md","Has Content"
"Foundations","The Curse of Dimensionality.md","Has Content"
"Implementation","Agglomeration Logic.md","Has Content"
"Implementation","Formatted Forward Substitution.md","Has Content"
"Implementation","Recursion Patterns in C.md","Has Content"
"Implementation","Stopping Criteria for ACA.md","Has Content"
"Implementation","Summation Strategies.md","Has Content"
"Implementation","Supermatrix Struct Definition.md","Has Content"
"Structures","Block Cluster Tree Definition.md","Has Content"
"Structures","Block Partition Definition.md","Has Content"
"Structures","Cluster Basis (V).md","Has Content"
"Structures","Cluster Tree Definition.md","Has Content"
"Structures","H2-Matrix Concept.md","Has Content"
"Structures","Hierarchical Matrix (Hp) Format.md","Has Content"
"Structures","Nested Basis Property.md","Has Content"
"Structures","Sparsity Constant (C_sp).md","EMPTY"
"Structures","Tensor Block Partition.md","Has Content"
"Structures","Transfer Matrix (E).md","Has Content"
"Structures","Uniform Matrix Format.md","Has Content"
