"","height","school","age"
"1",137.6,"private",109
"2",147.8,"private",113
"3",136.8,"private",115
"4",140.7,"private",116
"5",132.7,"private",119
"6",145.4,"private",120
"7",135,"private",121
"8",133,"private",124
"9",148.5,"private",126
"10",148.3,"private",129
"11",147.5,"private",130
"12",148.8,"private",133
"13",133.2,"private",134
"14",148.7,"private",135
"15",152,"private",137
"16",150.6,"private",139
"17",165.3,"private",141
"18",149.9,"private",142
"19",139,"rural",121
"20",140.9,"rural",121
"21",134.9,"rural",128
"22",149.5,"rural",129
"23",148.7,"rural",131
"24",131,"rural",132
"25",142.3,"rural",133
"26",139.9,"rural",134
"27",142.9,"rural",138
"28",147.7,"rural",138
"29",147.7,"rural",138
"30",134.6,"rural",140
"31",135.8,"rural",140
"32",148.5,"rural",140
